Date,Open,High,Low,Close,Adj Close,Volume
2014-11-18,26.801416,27.022808,26.635372,26.678255,26.647930,39253475
2014-11-19,26.676760,26.838314,26.431433,26.775988,26.745552,27844237
2014-11-20,26.489773,26.682243,26.481297,26.668282,26.637968,31267610
2014-11-21,27.006353,27.032782,26.754545,26.801416,26.770952,44485801
2014-11-24,26.808895,27.060705,26.707674,26.889673,26.859108,34127440
2014-11-25,26.876211,27.124531,26.856365,26.979927,26.949261,35798014
2014-11-26,26.969954,27.003363,26.778580,26.944525,26.913898,30459397
2014-11-28,26.956989,27.025801,26.756540,27.017324,26.986614,22966883
2014-12-01,26.871225,26.996382,26.520189,26.616922,26.586668,42307838
2014-12-02,26.602463,26.701691,26.417471,26.614429,26.584177,30533600
2014-12-03,26.499247,26.726423,26.390545,26.493263,26.463150,25559983
2014-12-04,26.485285,26.793440,26.357136,26.791943,26.761490,27842232
2014-12-05,26.477306,26.571548,26.142227,26.191092,26.161322,51312493
2014-12-08,26.284336,26.477306,26.117794,26.276857,26.246990,46587556
2014-12-09,26.035519,26.636370,25.953745,26.595482,26.565252,37426473
2014-12-10,26.581022,26.743076,26.206051,26.230984,26.201168,34245764
2014-12-11,26.317745,26.622908,26.282841,26.344671,26.314726,32216207
2014-12-12,26.103832,26.352650,25.861996,25.861996,25.832600,39891221
2014-12-15,26.065437,26.083387,25.593233,25.619661,25.590540,56268061
2014-12-16,25.507969,25.582264,24.383057,24.701681,24.673603,79285081
2014-12-17,24.781961,25.280592,24.772488,25.175381,25.146765,57663883
2014-12-18,25.577278,25.623152,25.165907,25.485031,25.456064,58534266
2014-12-19,25.505474,25.815125,25.276154,25.746813,25.717548,73804074
2014-12-22,25.733349,26.250929,25.733349,26.171646,26.141897,54475152
2014-12-23,26.277855,26.654819,26.242451,26.456863,26.426790,43952341
2014-12-24,26.452873,26.515154,26.278851,26.366112,26.336142,14118657
2014-12-26,26.366112,26.639362,26.293312,26.628391,26.598124,20810980
2014-12-29,26.536644,26.700693,26.427992,26.443897,26.413839,45570772
